product_id,product_name,product_name_toLowerCase,supermarket,category_1,category_2,category_3,category_4,price,price_bs,stock
60005743,DETERGENTE VALE LIQUIDO DE BEBE 1 LT,detergente vale liquido de bebe 1 lt,2,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,5.75,569.7675,51
60007085,QUITA MANCHA GEL SIN CLORO ROSA VANISH 900 ML,quita mancha gel sin cloro rosa vanish 900 ml,2,Limpieza,Cuidado de prendas,Blanqueador y cloro,,11.34,1123.6806,56
60004213,QUITAMANCHAS LÍQUIDO PARA ROPA BLANCA VANISH 900 ML,quitamanchas líquido para ropa blanca vanish 900 ml,2,Limpieza,Cuidado de prendas,Blanqueador y cloro,,11.34,1123.6806,26
60006125,QUITAMANCHAS EN POLVO ROSA DOYPACK VANISH 450 GR,quitamanchas en polvo rosa doypack vanish 450 gr,2,Limpieza,Cuidado de prendas,Blanqueador y cloro,,18.99,1881.7191,7
60006124,QUITAMANCHAS EN POLVO BLANCO DOYPACK VANISH 450 GR,quitamanchas en polvo blanco doypack vanish 450 gr,2,Limpieza,Cuidado de prendas,Blanqueador y cloro,,18.99,1881.7191,13
60006574,DETERGENTE LIQUIDO VEL ROSA 1 LT,detergente liquido vel rosa 1 lt,2,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,9.65,956.2185,76
60001223,SPRAY HEAVY ORGINAL NIAGARA 567 GR,spray heavy orginal niagara 567 gr,2,Limpieza,Cuidado de prendas,Planchado,,11.09,1098.9081,21
60004113,APRESTO PARA PLANCHAR LAVANDA NIÁGARA 567 GR,apresto para planchar lavanda niágara 567 gr,2,Limpieza,Cuidado de prendas,Planchado,,11.09,1098.9081,22
60004954,DETERGENTE EXPLOSIÓN CÍTRICA VALE 900 GR,detergente explosión cítrica vale 900 gr,2,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,3.45,341.8605,90
60004958,DETERGENTE CARICIAS DE BEBE VALE 900 GR,detergente caricias de bebe vale 900 gr,2,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,3.45,341.8605,82
60006398,DETERGENTE EN POLVO TOQUE DOWNY ARIEL 750 GR,detergente en polvo toque downy ariel 750 gr,2,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,4.9,485.541,0
60006397,DETERGENTE EN POLVO REGULAR ARIEL 850 GR,detergente en polvo regular ariel 850 gr,2,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,5.35,530.1315,0
60004631,DETERGENTE LÍQUIDO LAS LLAVES AROMA BEBÉ 1 LT,detergente líquido las llaves aroma bebé 1 lt,2,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,9.99,989.9091,0
60000032,CLORO NATURAL MAS 1 LT,cloro natural mas 1 lt,2,Limpieza,Cuidado de prendas,Blanqueador y cloro,,2.85,282.4065,0
60003237,LIMPIADOR DE CERÁMICA FULLER 1 LT,limpiador de cerámica fuller 1 lt,2,Limpieza,Limpiadores de baño,,,9.38,929.4642,33
60005715,LIMPIADOR DE POCETAS GRASSOFF 1 LT,limpiador de pocetas grassoff 1 lt,2,Limpieza,Limpiadores de baño,,,5.25,520.2225,13
60005068,LIMPIADOR DE BAÑO 5 EN 1 MR. MÚSCULO 500 ML,limpiador de baño 5 en 1 mr. músculo 500 ml,2,Limpieza,Limpiadores de baño,,,6.79,672.8211,50
60005329,LIMPIADOR DE INODOROS FRAGANCIA MARIA Mr MUSCLO 500 ML,limpiador de inodoros fragancia maria mr musclo 500 ml,2,Limpieza,Limpiadores de baño,,,4.29,425.0961,20
60002166,LIMPIADOR SCIOGLICALCARE GEL SMAC 500 ML,limpiador scioglicalcare gel smac 500 ml,2,Limpieza,Limpiadores de baño,,,4.29,425.0961,2
60006163,PASTILLA LIMPIADORA PARA SANITARIOS VALE 96 GR,pastilla limpiadora para sanitarios vale 96 gr,2,Limpieza,Limpiadores de baño,,,4.09,405.2781,144
60002577,LIMPIADOR DE POCETAS WINTER FRESH CICLON 1LT,limpiador de pocetas winter fresh ciclon 1lt,2,Limpieza,Limpiadores de baño,,,8.79,871.00,44
60005616,"LEJÍA CON ESPUMA LIMPIADORA GAMA 3,785 LT","lejía con espuma limpiadora gama 3,785 lt",1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,8.25,817.49,20
60006888,"DETERGENTE LIQUIDO FLORAL GAMA 1,2 LT","detergente liquido floral gama 1,2 lt",1,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,5.99,593.55,78
60007153,CLORO NATURAL GAMA 1 LT,cloro natural gama 1 lt,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,2.15,213.04,1103
60005615,LEJÍA CON ESPUMA LIMPIADORA GAMA 1 LT,lejía con espuma limpiadora gama 1 lt,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,2.15,213.04,85
60007284,DETERGENTE EN POLVO GAMA 900 GR,detergente en polvo gama 900 gr,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,2.69,266.55,87
60006924,DETERGENTE EN POLVO 3B+ 1 KG,detergente en polvo 3b+ 1 kg,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,2.99,296.28,4
60006399,DETERGENTE POLVO REGULAR ACE 800 GR,detergente polvo regular ace 800 gr,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,4.25,421.13,74
60007053,DETERGENTE EN POLVO REGULAR ACE 2 KG,detergente en polvo regular ace 2 kg,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,9.49,940.36,163
60007316,BICLORO AJAX 1 LT,bicloro ajax 1 lt,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,5.49,544.00,113
60007224,DETERGENTE EN POLVO MORADO ALIVE 1 KG,detergente en polvo morado alive 1 kg,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,3.49,345.82,36
60007022,DETERGENTE EN POLVO AZUL ALIVE 1 KG,detergente en polvo azul alive 1 kg,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,3.49,345.82,
60007237,"DETERGENTE LIQUIDO REVITACOLOR ARIEL 1,8 LT","detergente liquido revitacolor ariel 1,8 lt",1,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,17.95,1778.67,114
60007236,DETERGENTE LÍQUIDO REVITACOLOR ARIEL 800 ML,detergente líquido revitacolor ariel 800 ml,1,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,10.09,999.82,40
60005569,DETERGENTE ARIEL LIQUIDO CONCENTRADO DOBLE PODER 800 ML,detergente ariel liquido concentrado doble poder 800 ml,1,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,9.85,976.04,60
